지하철역,주소,x좌표,y좌표
4.19민주묘지역,서울 강북구 우이동 72-182,37.6494567358653,127.01350634405
가능역,경기 의정부시 가능동 197-1,37.7479058063656,127.044358094383
가락시장역,서울 송파구 가락동 184-23,37.4929147735248,127.118215300381
가산디지털단지역,서울 금천구 가산동 468-4,37.4824136254197,126.882240156863
가양역,서울 강서구 가양동 14-61,37.561758032882,126.853997037516
가오리역,서울 강북구 수유동 371-1,37.6416638626631,127.016947335858
가좌역,서울 서대문구 남가좌동 296-10,37.5693788129615,126.913682233945
가천대역,경기 성남시 수정구 태평동 7131,37.4474748387417,127.1265767155
가평역,경기 가평군 가평읍 달전리 603-2,37.814244392793,127.511043699743
간석역,인천 남동구 간석동 757,37.4657735698657,126.701170149219
갈매역,경기 구리시 갈매동 502-39,37.6340429000327,127.114561646263
강남역,서울 강남구 역삼동 858,37.4970572543978,127.028180714381
강남구청역,서울 강남구 삼성동 111-44,37.5182041604522,127.047219143457
강동역,서울 강동구 천호동 447,37.5357790488935,127.134127554194
강동구청역,서울 강동구 성내동 319,37.5306740877124,127.12057605164
강매역,경기 고양시 덕양구 행신동 1115-1,37.6126944323064,126.845082377154
강변역,서울 광진구 구의동 546-6,37.5353828194655,127.09454513374
강변역,서울 광진구 구의동 546-6,37.5353828194655,127.09454513374
강일역,서울 강동구 상일동 산 73,37.5574640324857,127.175719997694
강촌역,강원 춘천시 남산면 방곡리 409,37.8059615222749,127.634187689052
개롱역,서울 송파구 가락동 165-2,37.4989326571797,127.133066334778
개봉역,서울 구로구 개봉동 415,37.4951259236288,126.867028397511
개포동역,서울 강남구 개포동 195,37.4896709620887,127.069438768259
개화역,서울 강서구 개화동 664,37.5779633833321,126.798145262463
개화산역,서울 강서구 방화동 846,37.5723151249238,126.805758404916
거여역,서울 송파구 거여동 20-14,37.4942864602293,127.141950548563
건대입구역,서울 광진구 화양동 7-3,37.540816040886,127.069031304229
검암역,인천 서구 검암동 414-204,37.569139365028,126.673016743192
경기광주역,경기 광주시 역동 176-13,37.399132591567,127.252643963771
경마공원역,경기 과천시 과천동 654,37.4441881599911,127.0077117258
경복궁역,서울 종로구 적선동 81-1,37.5757611449079,126.973206515467
경복궁역,서울 종로구 적선동 81-1,37.5757611449079,126.973206515467
경찰병원역,서울 송파구 가락동 10-15,37.4982671093405,127.125637604057
계양역,인천 계양구 귤현동 451-264,37.5717862619017,126.73676161817
고덕역,서울 강동구 고덕동 310,37.5556257920114,127.15385486024
고려대역,서울 성북구 종암동 29-18,37.5896788870261,127.035926346178
고려대역,서울 성북구 종암동 29-18,37.5896788870261,127.035926346178
고색역,경기 수원시 권선구 고색동 377-2,37.2493952261246,126.979508141905
고속터미널역,서울 서초구 반포동 19-11,37.5048497116637,127.00487538273
고잔역,경기 안산시 단원구 고잔동 453-53,37.316926002447,126.822938536407
곡산역,경기 고양시 일산동구 백석동 1185-1,37.6461657867218,126.801162996544
곤지암역,경기 광주시 곤지암읍 곤지암리 353-1,37.3503637471389,127.346991377175
공덕역,서울 마포구 공덕동 423-29,37.5444872539487,126.95119513916
공릉역,서울 노원구 공릉동 385-4,37.6257624214235,127.072748334999
공릉역,서울 노원구 공릉동 385-4,37.6257624214235,127.072748334999
공항시장역,서울 강서구 공항동 산 20-2,37.5636056670547,126.810585519612
공항화물청사역,인천 중구 운서동 2844-7,37.4590715552905,126.47738097187
과천역,경기 과천시 별양동 2,37.4329045044765,126.996954505276
관악역,경기 안양시 만안구 석수동 110-21,37.4186328472833,126.909395380812
광나루역,서울 광진구 광장동 237,37.5451703449549,127.103502954805
광나루역,서울 광진구 광장동 237,37.5451703449549,127.103502954805
광명역,경기 광명시 일직동 276-8,37.4163583633797,126.884995930221
광명사거리역,경기 광명시 광명동 158-211,37.4798031725412,126.853074780215
광운대역,서울 노원구 월계동 85,37.6234102703197,127.062256658106
광화문역,서울 종로구 세종로 1-68,37.5724324798009,126.976901845925
광화문역,서울 종로구 세종로 1-68,37.5724324798009,126.976901845925
광흥창역,서울 마포구 창전동 145-17,37.5474263727384,126.932476697359
광흥창역,서울 마포구 창전동 145-17,37.5474263727384,126.932476697359
교대역,서울 서초구 서초동 1748-4,37.4948693588388,127.017320865284
교대역,서울 서초구 서초동 1748-4,37.4948693588388,127.017320865284
구로역,서울 구로구 구로동 585-3,37.5025802339725,126.882154432393
구로디지털단지역,서울 구로구 구로동 810-3,37.4854463023684,126.900861931696
구룡역,서울 강남구 개포동 175-3,37.4870233477351,127.059001649091
구리역,경기 구리시 인창동 244-2,37.6036759230133,127.145040943342
구반포역,서울 서초구 반포동 817,37.5016379257319,126.986315856936
구산역,서울 은평구 구산동 1,37.6112122196295,126.917182386796
구성역,경기 용인시 기흥구 마북동 460-3,37.2989284474921,127.105634521396
구의역,서울 광진구 구의동 245-24,37.5383212423161,127.090767117028
구의역,서울 광진구 구의동 245-24,37.5383212423161,127.090767117028
구일역,서울 구로구 구로동 636-45,37.4972425500008,126.871988640708
구파발역,서울 은평구 진관동 67-26,37.637580009726,126.918547710926
국수역,경기 양평군 양서면 국수리 258-25,37.5158666322418,127.399496114838
국회의사당역,서울 영등포구 여의도동 1-6,37.527391784194,126.918559404672
군자역,서울 광진구 능동 275-5,37.5567298489954,127.080534516969
군자역,서울 광진구 능동 275-5,37.5567298489954,127.080534516969
군포역,경기 군포시 당동 134-1,37.3538592709153,126.94854628582
굴봉산역,강원 춘천시 남산면 백양리 588-30,37.8321101127427,127.557703285638
굴포천역,인천 부평구 삼산동 466,37.5068123336205,126.736795292326
굽은다리역,서울 강동구 명일동 345-12,37.5460519885973,127.143168017264
굽은다리역,서울 강동구 명일동 345-12,37.5460519885973,127.143168017264
금곡역,경기 남양주시 금곡동 404-276,37.6375574138126,127.208453647309
금릉역,경기 파주시 금촌동 605-1,37.7519430941006,126.765054407328
금정역,경기 군포시 금정동 613,37.3665338178224,126.946062766832
금천구청역,서울 금천구 시흥동 113-55,37.4569216623088,126.894200511739
금촌역,경기 파주시 금촌동 329-355,37.7653982481887,126.773740427776
금호역,서울 성동구 금호동4가 1470,37.5481125196986,127.015893753726
기흥역,경기 용인시 기흥구 구갈동 480-36,37.275427714423,127.117343296082
길동역,서울 강동구 길동 378,37.5378115570072,127.13999920444
길음역,서울 성북구 길음동 877-66,37.603183910563,127.024823216768
김유정역,강원 춘천시 신동면 증리 945-2,37.8181961880368,127.714519599349
김포공항역,서울 강서구 방화동 886,37.5650596091039,126.802991808588
까치산역,서울 강서구 화곡동 662-5,37.5325400173123,126.84626068468
까치울역,경기 부천시 춘의동 3-1,37.5061387883803,126.800966205684
낙성대역,서울 관악구 봉천동 1693-39,37.4766620778454,126.964610228555
낙성대역,서울 관악구 봉천동 1693-39,37.4766620778454,126.964610228555
남구로역,서울 구로구 구로동 801-95,37.4849197371439,126.886712086858
남동인더스파크역,인천 남동구 고잔동 970-14,37.4071199316831,126.694692825365
남부터미널역,서울 서초구 서초동 1748-30,37.4865945147413,127.015296934392
남부터미널역,서울 서초구 서초동 1748-30,37.4865945147413,127.015296934392
남성역,서울 동작구 사당동 산 25-33,37.4847366181348,126.971116343137
남영역,서울 용산구 갈월동 96-1,37.5416256847456,126.9712367572
남춘천역,강원 춘천시 퇴계동 633-2,37.8640059697998,127.723833214939
남태령역,서울 서초구 방배동 2909,37.4643782775355,126.98927797534
남한산성입구역,경기 성남시 수정구 단대동 96,37.4502281755962,127.159068067452
남한산성입구역,경기 성남시 수정구 단대동 96,37.4502281755962,127.159068067452
내방역,서울 서초구 방배동 874-16,37.4881272941617,126.993214566031
노들역,서울 동작구 본동 475-1,37.5139923527763,126.956113037425
노량진역,서울 동작구 노량진동 60-11,37.5135851365497,126.940904491209
노원역,서울 노원구 상계동 602-5,37.656115126703,127.062396487596
녹번역,서울 은평구 녹번동 55,37.6007975225033,126.935891544921
녹사평역,서울 용산구 용산동4가 4,37.5344455261396,126.985524548735
녹양역,경기 의정부시 녹양동 96-1,37.7600584618174,127.042261236819
녹천역,서울 도봉구 창동 57-11,37.645635169936,127.050942159434
논현역,서울 강남구 논현동 279-67,37.5143011318846,127.03177451842
능곡역,경기 고양시 덕양구 토당동 454-3,37.6199454627999,126.819750147203
단대오거리역,경기 성남시 수정구 신흥동 2467,37.4445404691554,127.14844826642
달월역,경기 시흥시 월곶동 662-3,37.3802739153151,126.74573809447
답십리역,서울 성동구 용답동 99,37.5664458277827,127.05318095956
당고개역,서울 노원구 상계동 111,37.6706073220334,127.079331927844
당산역,서울 영등포구 당산동6가 323-1,37.5350841820894,126.902845158061
당정역,경기 군포시 당정동 938,37.3390395973011,126.948153981922
